OrderID,OrderDate,ProductName,Category,Sales,Quantity,CustomerName,Region
e3e70682-c209-4cac-a29f-6fbed82c07cd,2023-06-05,kitchen,Clothing,392.41,8,Brianna Pacheco,North
f728b4fa-4248-4e3a-8a5d-2f346baa9455,2024-10-31,particular,Home,419.04,6,Lori Lee,East
eb1167b3-67a9-4378-bc65-c1e582e2e662,2024-12-09,natural,Clothing,459.88,3,Chad Morris,South
f7c1bd87-4da5-4709-9471-3d60c8a70639,2023-10-19,officer,Electronics,84.69,3,Robert Cooper,South
e443df78-9558-467f-9ba9-1faf7a024204,2023-05-26,carry,Books,62.8,3,William Bush,East
23a7711a-8133-4876-b7eb-dcd9e87a1613,2023-08-29,see,Toys,154.44,9,Kathleen Davis,South
1846d424-c17c-4279-a3c6-612f48268673,2023-05-17,glass,Clothing,270.17,2,Jill Stewart,South
fcbd04c3-4021-4ef7-8ca5-a5a19e4d6e3c,2024-09-02,senior,Toys,215.04,4,Eugene Nelson,North
b4862b21-fb97-4435-8856-1712e8e5216a,2023-05-12,over,Books,186.58,1,Micheal Wilson,East
259f4329-e6f4-490b-9a16-4106cf6a659e,2024-01-14,reality,Electronics,188.24,8,Peter Collins,East
12e0c8b2-bad6-40fb-9948-8dec4f65d4d9,2024-05-19,none,Home,81.08,5,Sharon Lopez,South
5487ce1e-af19-422a-99b8-a714e61a441c,2023-04-21,important,Home,239.36,2,Margaret Jackson,North
5a921187-19c7-4df4-8f4f-f31e78de5857,2024-04-13,window,Clothing,382.3,2,Karen Allen,West
a3f2c9bf-9c63-46b9-90f2-44556f25e2a2,2024-03-28,deep,Books,325.63,6,Stephanie Mosley,North
8d723104-f773-43c1-b458-a748e9bb17bc,2024-01-21,fire,Toys,431.14,4,James Davis,West
85776e9a-dd84-439e-b154-5a137a1d5006,2023-11-06,beyond,Books,156.75,5,Matthew Mann,South
eb2083e6-ce16-4dba-8ff1-8e0242af9fc3,2024-03-24,light,Clothing,470.55,8,Brian Chen,West
17e0aa3c-0398-4ca8-aa7e-9d498c778ea6,2024-04-25,range,Books,448.9,9,Lisa Davis,North
b5d32b16-6619-4cb1-9710-37d1b83e90ec,2024-12-24,prove,Toys,360.35,3,Kevin Robinson,East
a0116be5-ab0c-4681-88f8-e3d0d3290a4c,2024-12-01,expect,Home,300.59,7,Elizabeth Mckenzie,South
d3fbf47a-7e5b-4e7f-9ca5-499d004ae545,2024-10-23,economic,Books,320.8,3,Kiara Park,South
baf3897a-3e70-416a-9548-5822de1b372a,2023-06-19,suddenly,Electronics,155.98,1,Lori Lucas,North
101fbccc-ded7-43e8-b421-eaeb534097ca,2024-11-27,radio,Electronics,314.46,2,Steven Thompson,South
38c1962e-9148-424f-aac1-c14f30e9c5cc,2022-12-27,everybody,Clothing,219.82,3,Nathaniel Lewis,North
247a8333-f7b0-47d2-8da8-056c3d15eef7,2023-02-05,weight,Clothing,377.06,2,Stephanie Howard,West
1759edc3-72ae-4244-8b01-63c1cd9d2b7d,2023-11-28,stage,Clothing,160.91,5,Sheila Hopkins,West
e005b860-51ef-4922-be43-c49e149818d1,2024-11-21,follow,Books,199.89,7,Jose Robles,West
7d41e602-eece-428b-bf7b-118e820865d6,2024-04-07,become,Books,226.14,3,Mrs. Amy Bailey DDS,North
4a84eb03-8d1f-49b7-8d2b-9deb1beb3711,2023-01-18,hold,Clothing,290.85,8,Ana Moon,West
552f233a-8c25-466a-9ff3-9849b4e1357d,2024-05-10,check,Electronics,138.13,7,Brett Walton,East
3405095c-8a50-46c1-ac18-8efbd080e66e,2024-05-11,listen,Home,499.93,3,Cesar Young,South
8c1745a7-9a6a-4f92-8ca7-4147f6be1f72,2024-05-11,agree,Clothing,255.66,4,Mary Dalton,West
1775336d-71ea-4d05-89a3-e80e966e1277,2024-12-16,imagine,Toys,328.65,10,Marcia Olson,West
5129fb7c-6288-41a5-8c45-782198a6416d,2023-04-09,question,Books,326.48,2,Mary Nelson,East
2f120554-4a53-48cc-bdfa-bc08935ddd72,2024-01-19,line,Electronics,484.08,10,Marcus Howell,North
0870e15c-2fcd-41b5-924b-ace4307bf326,2023-03-01,area,Home,136.04,9,Craig Kelley,North
42930b33-a81a-4477-bb36-75b89cdeb3e6,2023-11-15,program,Clothing,479.42,3,Emily Thompson,North
adc0da7a-16fe-4aa0-91af-923d79fdef7c,2023-08-23,standard,Books,212.68,1,Joseph Rice,South
2648ee38-e074-45eb-a156-63abc1f254b8,2023-09-08,spend,Electronics,437.1,9,Kimberly Hopkins,South
148b2758-d7ab-4928-89e4-69e6ec62b2c8,2024-04-29,feeling,Clothing,253.45,3,Emily Flynn,North
d450fe4a-ec4f-417b-b306-d1a8e5eeac76,2024-12-05,Mrs,Books,55.08,9,Gary Snyder,East
d67e55fd-642b-4a42-aef9-c00b8a64c1b9,2024-04-24,pretty,Toys,375.26,8,Nancy Johnson,West
